o 	 w 	 F_D
1.682559977229782788e+00 -1.662670360319589591e+00 1.353999999999999648e+00
1.681821605435484202e+00 -1.662741043460031598e+00 1.353999999999999648e+00
1.681083202284309408e+00 -1.662811569244433185e+00 1.353999999999999648e+00
1.680344767851064347e+00 -1.662881937467746596e+00 1.353999999999999648e+00
1.679606302202596879e+00 -1.662952147927555302e+00 1.353999999999999648e+00
1.687550005177971713e+00 -1.662188482948302903e+00 1.353999999999999648e+00
1.678867805412576075e+00 -1.663022200417190177e+00 1.353999999999999648e+00
1.686811847137892784e+00 -1.662260224356265637e+00 1.353999999999999648e+00
1.678129277546940301e+00 -1.663092094735340032e+00 1.353999999999999648e+00
1.686073657273457371e+00 -1.662331809786988135e+00 1.353999999999999648e+00
1.677390718678676507e+00 -1.663161830675863317e+00 1.353999999999999648e+00
1.685335435658789294e+00 -1.662403239033602098e+00 1.353999999999999648e+00
1.676652128878043158e+00 -1.663231408035615644e+00 1.353999999999999648e+00
1.684597182355279443e+00 -1.662474511895782880e+00 1.353999999999999648e+00
1.675913508212342862e+00 -1.663300826612013505e+00 1.353999999999999648e+00
1.683858897432504165e+00 -1.662545628170332801e+00 1.353999999999999648e+00
1.683120580969816871e+00 -1.662616587647810062e+00 1.353999999999999648e+00
1.682382233030200069e+00 -1.662687390128060549e+00 1.353999999999999648e+00
1.681643853678682632e+00 -1.662758035408012480e+00 1.353999999999999648e+00
1.674768555758976873e+00 -1.666635441953719265e+00 1.354999999999999538e+00
1.682729875906158412e+00 -1.665879508534309217e+00 1.354999999999999538e+00
1.674028423457603054e+00 -1.666704767210755556e+00 1.354999999999999538e+00
1.681990078919906040e+00 -1.665950538499147981e+00 1.354999999999999538e+00
1.673288260404394379e+00 -1.666773932823117033e+00 1.354999999999999538e+00
1.681250250423072856e+00 -1.666021411024777299e+00 1.354999999999999538e+00
1.672548066674611533e+00 -1.666842938583521727e+00 1.354999999999999538e+00
1.680510390492397477e+00 -1.666092125902140397e+00 1.354999999999999538e+00
1.671807842336466621e+00 -1.666911784287757214e+00 1.354999999999999538e+00
1.679770499198024680e+00 -1.666162682927456729e+00 1.354999999999999538e+00
1.679030576594978896e+00 -1.666233081902956048e+00 1.354999999999999538e+00
1.678290622770571616e+00 -1.666303322614604232e+00 1.354999999999999538e+00
1.677550637790059085e+00 -1.666373404859687213e+00 1.354999999999999538e+00
1.676810621721426031e+00 -1.666443328435559978e+00 1.354999999999999538e+00
1.676070574633566679e+00 -1.666513093137472312e+00 1.354999999999999538e+00
1.675330496602651209e+00 -1.666582698756885472e+00 1.354999999999999538e+00
1.683291561647028090e+00 -1.665825472476268887e+00 1.354999999999999538e+00
1.674590387697119098e+00 -1.666652145092389681e+00 1.354999999999999538e+00
1.682551788629485401e+00 -1.665896621844635828e+00 1.354999999999999538e+00
1.673850247988593054e+00 -1.666721431936024400e+00 1.354999999999999538e+00
1.681811984054295550e+00 -1.665967613925827928e+00 1.354999999999999538e+00
1.673110077544148311e+00 -1.666790559085899348e+00 1.354999999999999538e+00
1.681072147983531551e+00 -1.666038448519928661e+00 1.354999999999999538e+00
1.672369876440637171e+00 -1.666859526334523389e+00 1.354999999999999538e+00
1.680332280500412168e+00 -1.666109125415204506e+00 1.354999999999999538e+00
1.671629644738541032e+00 -1.666928333480525382e+00 1.354999999999999538e+00
1.679592381654277489e+00 -1.666179644416526884e+00 1.354999999999999538e+00
1.678852451535167489e+00 -1.666250005308932858e+00 1.354999999999999538e+00
1.678112490205837304e+00 -1.666320207890553240e+00 1.354999999999999538e+00
1.677372497731543177e+00 -1.666390251960364610e+00 1.354999999999999538e+00
1.670602408949651618e+00 -1.670194801236931204e+00 1.355999999999999428e+00
1.678580750975140035e+00 -1.669445289540888000e+00 1.355999999999999428e+00
1.669860696146347578e+00 -1.670263522074854290e+00 1.355999999999999428e+00
1.677839370632622007e+00 -1.669515728913630204e+00 1.355999999999999428e+00
1.669118952863716032e+00 -1.670332081975563820e+00 1.355999999999999428e+00
1.677097959045095621e+00 -1.669586009564914431e+00 1.355999999999999428e+00
1.668377179168377467e+00 -1.670400480735334314e+00 1.355999999999999428e+00
1.676356516284638332e+00 -1.669656131288191236e+00 1.355999999999999428e+00
1.667635375135251508e+00 -1.670468718146270515e+00 1.355999999999999428e+00
1.675615042420826484e+00 -1.669726093877909712e+00 1.355999999999999428e+00
1.674873537522326927e+00 -1.669795897129434881e+00 1.355999999999999428e+00
1.674132001657124391e+00 -1.669865540836700246e+00 1.355999999999999428e+00
1.673390434903890167e+00 -1.669935024792889688e+00 1.355999999999999428e+00
1.672648837323560400e+00 -1.670004348795028681e+00 1.355999999999999428e+00
1.671907209002537087e+00 -1.670073512630506629e+00 1.355999999999999428e+00
1.671165550000392130e+00 -1.670142516098827912e+00 1.355999999999999428e+00
